gender,party,race,age_at_year_end
Male,Democratic,Black or African American,78
Male,Democratic,Black or African American,78
Male,Democratic,Black or African American,73
Male,Democratic,Black or African American,42
Female,Democratic,Asian,47
Unspecified,Unaffiliated,Undesignated,57
Female,Democratic,Black or African American,77
Male,Democratic,Black or African American,71
Female,Democratic,Black or African American,79
Female,Democratic,Two or more Races,35
Unspecified,Unaffiliated,Undesignated,19
Male,Democratic,Black or African American,27
Female,Democratic,Black or African American,26
Male,Democratic,Black or African American,74
Female,Democratic,White,71
Male,Republican,American Indian or Alaska Native,20
Female,Unaffiliated,Other,26
Female,Unaffiliated,Black or African American,73
Male,Unaffiliated,Black or African American,45
Male,Democratic,Black or African American,37
Female,Unaffiliated,Black or African American,53
Female,Democratic,Black or African American,39
Unspecified,Democratic,Black or African American,28
Female,Unaffiliated,Black or African American,69
Unspecified,Unaffiliated,Undesignated,61
Female,Democratic,Black or African American,42
Male,Unaffiliated,Black or African American,65
Female,Democratic,Black or African American,69
Male,Democratic,Black or African American,51
Female,Democratic,Black or African American,80
Male,Democratic,Black or African American,56
Female,Democratic,Black or African American,74
Unspecified,Democratic,Undesignated,73
Male,Democratic,Black or African American,31
Female,Democratic,Asian,22
Male,Democratic,Asian,53
Male,Democratic,Other,75
Female,Unaffiliated,Asian,56
Female,Unaffiliated,Black or African American,43
Male,Democratic,Undesignated,79
Male,Unaffiliated,Black or African American,21
Unspecified,Democratic,Undesignated,22
Unspecified,Unaffiliated,Undesignated,23
Male,Democratic,White,51
Female,Democratic,White,36
Male,Unaffiliated,White,54
Male,Unaffiliated,Undesignated,62
Unspecified,Unaffiliated,Undesignated,79
Male,Unaffiliated,Asian,36
Unspecified,Unaffiliated,Undesignated,25
Female,Democratic,White,65
Female,Democratic,White,30
Male,Republican,White,46
Male,Republican,White,68
Unspecified,Democratic,White,26
Female,Democratic,White,74
Male,Unaffiliated,White,38
Female,Democratic,White,66
Male,Democratic,Black or African American,55
Male,Democratic,Black or African American,26
Female,Republican,White,38
Female,Democratic,Black or African American,64
Female,Democratic,White,61
Male,Democratic,Undesignated,29
Female,Unaffiliated,White,26
Male,Unaffiliated,White,34
Female,Democratic,White,34
Female,Unaffiliated,Asian,52
Female,Unaffiliated,Asian,45
Female,Democratic,Other,42
Female,Unaffiliated,Asian,29
Male,Unaffiliated,Asian,51
Male,Democratic,Asian,25
Female,Unaffiliated,White,24
Male,Democratic,White,59
Female,Unaffiliated,White,61
Female,Democratic,White,27
Unspecified,Unaffiliated,Undesignated,30
Female,Republican,White,33
Male,Unaffiliated,White,42
Female,Democratic,Other,18
Male,Unaffiliated,White,61
Female,Democratic,White,58
Female,Democratic,White,78
Male,Democratic,Black or African American,26
Female,Democratic,White,51
Male,Democratic,Black or African American,33
Male,Democratic,Black or African American,35
Unspecified,Unaffiliated,White,48
Female,Democratic,Black or African American,31
Female,Democratic,White,79
Female,Democratic,White,60
Female,Democratic,Black or African American,56
Female,Democratic,White,19
Female,Unaffiliated,White,35
Female,Democratic,White,67
Male,Democratic,White,80
Unspecified,Unaffiliated,Undesignated,18
Male,Democratic,White,31
Female,Democratic,White,30
Male,Unaffiliated,Other,30
Female,Democratic,White,70
Female,Unaffiliated,Other,33
Male,Unaffiliated,Other,30
Female,Unaffiliated,Black or African American,31
